Price,Address,City,Beds,Baths,Square Feet
1690000,"3053 W Coolidge Avenue, Anaheim, CA 92801",Anaheim,9.0,5.0,4571.0
430000,"1345 Cabrillo Park Drive # K12, Santa Ana, CA 92701",Santa Ana,1.0,1.0,696.0
634900,"409 Utica Avenue # A8, Huntington Beach, CA 92648",Huntington Beach,2.0,2.0,884.0
1549000,"19585 Oakdale Lane, Huntington Beach, CA 92648",Huntington Beach,3.0,3.0,2231.0
1695000,"19 Corte Rivera, San Clemente, CA 92673",San Clemente,2.0,2.0,2401.0
699000,"4011 Calle Sonora Oeste # 3b, Laguna Woods, CA 92637",Laguna Woods,3.0,3.0,2414.0
1348000,"33775 Castano Drive, Dana Point, CA 92629",Dana Point,3.0,1.0,1163.0
3635551,"101 Bright Star, Irvine, CA 92618",Irvine,4.0,4.0,2787.0
605000,"1 Silver Glade Drive # 231, Laguna Niguel, CA 92677",Laguna Niguel,1.0,1.0,743.0
868000,"43 Anacapa Court, Lake Forest, CA 92610",Lake Forest,3.0,3.0,1371.0
760000,"8606 Solano Circle # 1002a, Huntington Beach, CA 92646",Huntington Beach,2.0,2.0,1072.0
1268000,"802 Oceanhill Drive, Huntington Beach, CA 92648",Huntington Beach,3.0,3.0,1530.0
625000,"5497 Twin Lakes Drive, Cypress, CA 90630",Cypress,2.0,2.0,993.0
874999,"3116 Ravenwood Court, Fullerton, CA 92835",Fullerton,4.0,2.0,1407.0
1799000,"18596 Santa Isadora Street, Fountain Valley, CA 92708",Fountain Valley,4.0,3.0,2421.0
1100000,"1608 Elm Avenue, Costa Mesa, CA 92626",Costa Mesa,4.0,2.0,1647.0
895000,"1904 W 3rd Street, Santa Ana, CA 92703",Santa Ana,4.0,2.0,1900.0
1998000,"41 Valley # 31, Irvine, CA 92612",Irvine,4.0,3.0,2344.0
1930000,"2067 Hetebrink Street, Fullerton, CA 92833",Fullerton,6.0,4.0,3500.0
1489898,"32 Peony, Irvine, CA 92618",Irvine,3.0,3.0,1910.0
850000,"18683 Maplewood Circle # 84, Huntington Beach, CA 92646",Huntington Beach,3.0,2.0,1360.0
645000,"3640 S Main Street # C 16, Santa Ana, CA 92707",Santa Ana,2.0,2.0,1148.0
1100000,"1437 S Courtney Avenue, Fullerton, CA 92833",Fullerton,3.0,2.0,1344.0
589000,"10 Islay # 43, Rancho Santa Margarita, CA 92688",Rancho Santa Margarita,2.0,2.0,799.0
2295000,"16755 Bay View Drive, Huntington Beach, CA 92649",Huntington Beach,4.0,3.0,2276.0
2100000,"1600 Sea Horse Circle, Costa Mesa, CA 92627",Costa Mesa,4.0,3.0,2096.0
1050000,"2102 N Eastwood Avenue, Santa Ana, CA 92705",Santa Ana,3.0,2.0,1969.0
1249000,"1134 Lockhaven Drive, Brea, CA 92821",Brea,3.0,3.0,1933.0
1100000,"6038 Derby Lane, Cypress, CA 90720",Cypress,4.0,4.0,2038.0
875000,"11811 Loraleen St Street, Garden Grove, CA 92841",Garden Grove,3.0,2.0,1185.0
460000,"29003 Canyon Ridge Drive # 99, Trabuco Canyon, CA 92679",Trabuco Canyon,1.0,1.0,766.0
1200000,"10081 Northampton Avenue, Westminster, CA 92683",Westminster,3.0,2.0,1716.0
815000,"32 Alicante Aisle, Irvine, CA 92614",Irvine,2.0,2.0,1032.0
5550000,"32 Landport, Newport Beach, CA 92660",Newport Beach,5.0,6.0,4510.0
1049000,"3365 Tempe Drive, Huntington Beach, CA 92649",Huntington Beach,2.0,3.0,1580.0
1700000,"2450 Elden Avenue # D, Costa Mesa, CA 92627",Costa Mesa,3.0,3.0,1956.0
7375000,"32471 Adriatic Drive, Dana Point, CA 92629",Dana Point,4.0,5.0,3161.0
1199900,"130 Pageantry Drive, Placentia, CA 92870",Placentia,5.0,3.0,2900.0
870000,"27792 Via Granados, Mission Viejo, CA 92692",Mission Viejo,3.0,2.0,1472.0
5400000,"31423 Coast # 51, Laguna Beach, CA 92651",Laguna Beach,3.0,2.0,1579.0
7250000,"6 Overlook Drive, Ladera Ranch, CA 92694",Ladera Ranch,5.0,7.0,5693.0
1250000,"25781 Santo Dr, Mission Viejo, CA 92691",Mission Viejo,3.0,4.0,2435.0
1193000,"1933 Federal Avenue, Costa Mesa, CA 92627",Costa Mesa,3.0,1.0,1034.0
39000,"21 Via Palladio, Newport Coast, CA 92657",Newport Coast,5.0,6.0,5400.0
1749000,"511 Avenida Presidio, San Clemente, CA 92672",San Clemente,3.0,4.0,1733.0
404999,"1000 W Macarthur Boulevard # 44, Santa Ana, CA 92707",Santa Ana,1.0,1.0,700.0
1200000,"1043 E Palmyra Avenue, Orange, CA 92866",Orange,4.0,3.0,2485.0
859923,"1029 S Austin Street, Santa Ana, CA 92704",Santa Ana,3.0,1.0,1090.0
7950000,"27 Starview, Irvine, CA 92603",Irvine,5.0,6.0,5963.0
3300000,"3300 W Orange Avenue, Anaheim, CA 92804",Anaheim,6.0,3.0,6988.0
999000,"12352 Elmwood Street, Garden Grove, CA 92840",Garden Grove,4.0,2.0,1477.0
2790000,"27975 Loretha Lane, Laguna Niguel, CA 92677",Laguna Niguel,4.0,4.0,3284.0
1595000,"330 Ford Road, Costa Mesa, CA 92627",Costa Mesa,3.0,3.0,1714.0
2798000,"77 Gravity, Irvine, CA 92618",Irvine,4.0,4.0,3192.0
1,"4195 Gayle St., Orange, CA 92865",Orange,3.0,2.0,1828.0
1500000,"33611 Rising Tide Court, Dana Point, CA 92629",Dana Point,3.0,3.0,1825.0
5875000,"520 E Walnut Street, Santa Ana, CA 92701",Santa Ana,2.0,2.0,15552.0
762990,"1553 Lima Way Unit 4, Placentia, CA 92870",Placentia,2.0,3.0,1320.0
495000,"1040 W Macarthur Boulevard # 156, Santa Ana, CA 92707",Santa Ana,2.0,1.0,905.0
1299900,"2000 Pacific Coast Hwy # 107, Huntington Beach, CA 92648",Huntington Beach,2.0,3.0,1174.0
910000,"1225 N Mclean Drive, Santa Ana, CA 92703",Santa Ana,3.0,2.0,1170.0
4595000,"602 Iris Avenue, Corona Del Mar, CA 92625",Corona Del Mar,3.0,5.0,2750.0
399000,"14911 Kitterman Drive, Silverado Canyon, CA 92676",Silverado Canyon,3.0,2.0,2320.0
1195000,"2290 N Maplewood Street, Orange, CA 92865",Orange,4.0,2.0,1852.0
2299000,"18002 Aberdeen Lane, Villa Park, CA 92861",Villa Park,6.0,4.0,3708.0
850000,"16881 Canyon Lane, Huntington Beach, CA 92649",Huntington Beach,3.0,2.0,1330.0
1169000,"24201 Bark Street, Lake Forest, CA 92630",Lake Forest,3.0,2.0,1900.0
2400000,"18612 Demion Lane, Huntington Beach, CA 92646",Huntington Beach,9.0,7.0,7192.0
3388000,"1083 Tia Juana Street, Laguna Beach, CA 92651",Laguna Beach,3.0,3.0,1772.0
1875000,"347 Las Riendas Drive, Fullerton, CA 92835",Fullerton,3.0,3.0,1986.0
2198000,"125 E Avenida Cornelio, San Clemente, CA 92672",San Clemente,4.0,3.0,3175.0
595000,"16578 Montego Way, Tustin, CA 92780",Tustin,3.0,2.0,1188.0
595000,"16609 Montego Way, Tustin, CA 92780",Tustin,3.0,2.0,1188.0
1195000,"1400 E Wilshire Avenue, Fullerton, CA 92831",Fullerton,4.0,2.0,1978.0
1550000,"9109 Bestel Avenue, Garden Grove, CA 92844",Garden Grove,9.0,6.0,2967.0
