Price,Address,City,Beds,Baths,Square Feet
"$ 1,690,000","3053 W Coolidge Avenue, Anaheim, CA 92801",Anaheim,9 bds,5 ba,4571 sqft
"$ 430,000","1345 Cabrillo Park Drive # K12, Santa Ana, CA 92701",Santa Ana,1 bd,1 bath,696 sqft
"$ 634,900","409 Utica Avenue # A8, Huntington Beach, CA 92648",Huntington Beach,2 bds,2 ba,884 sqft
"$ 350,000","604 W. Chapman, Placentia, CA 92870",Placentia,N/A,N/A,N/A
"$ 1,549,000","19585 Oakdale Lane, Huntington Beach, CA 92648",Huntington Beach,3 bds,3 ba,2231 sqft
"$ 1,695,000","19 Corte Rivera, San Clemente, CA 92673",San Clemente,2 bds,2 ba,2401 sqft
"$ 699,000","4011 Calle Sonora Oeste # 3b, Laguna Woods, CA 92637",Laguna Woods,3 bds,3 ba,2414 sqft
"$ 1,348,000","33775 Castano Drive, Dana Point, CA 92629",Dana Point,3 bds,1 bath,1163 sqft
"$ 3,635,551","101 Bright Star, Irvine, CA 92618",Irvine,4 bds,4 ba,2787 sqft
"$ 240,000","0 Irvine Mesa Road, Silverado, CA 92676",Silverado,N/A,N/A,N/A
"$ 605,000","1 Silver Glade Drive # 231, Laguna Niguel, CA 92677",Laguna Niguel,1 bd,1 bath,743 sqft
"$ 868,000","43 Anacapa Court, Lake Forest, CA 92610",Lake Forest,3 bds,3 ba,1371 sqft
"$ 760,000","8606 Solano Circle # 1002a, Huntington Beach, CA 92646",Huntington Beach,2 bds,2 ba,1072 sqft
"$ 1,268,000","802 Oceanhill Drive, Huntington Beach, CA 92648",Huntington Beach,3 bds,3 ba,1530 sqft
"$ 625,000","5497 Twin Lakes Drive, Cypress, CA 90630",Cypress,2 bds,2 ba,993 sqft
"$ 874,999","3116 Ravenwood Court, Fullerton, CA 92835",Fullerton,4 bds,2 ba,1407 sqft
"$ 1,799,000","18596 Santa Isadora Street, Fountain Valley, CA 92708",Fountain Valley,4 bds,3 ba,2421 sqft
"$ 1,100,000","1608 Elm Avenue, Costa Mesa, CA 92626",Costa Mesa,4 bds,2 ba,1647 sqft
"$ 895,000","1904 W 3rd Street, Santa Ana, CA 92703",Santa Ana,4 bds,2 ba,1900 sqft
"$ 1,998,000","41 Valley # 31, Irvine, CA 92612",Irvine,4 bds,3 ba,2344 sqft
"$ 1,930,000","2067 Hetebrink Street, Fullerton, CA 92833",Fullerton,6 bds,4 ba,3500 sqft
